COMPANY NAME,NAME,RAZÓN SOCIAL,RUT,Dirección Facturación,Dirección Despacho,Comuna Despacho,Región Despacho,Horario Despacho,Precio Caja,diasCredito,Orden de compra (SI O NO),Unidad/Caja,EMAIL PEDIDO,EMAIL FACTURA,CENTRO DE NEGOCIOS ,VENDEDOR 
Panaderia Las Jaar,Panadería Las Jaar Vergara,Productos de panaderia manuel jaarEIRL ,76.995.636-0,VERGARA 271,vergara 271,Concón,Valparaíso,08:00 - 17:00,$78.960,1,,CAJA,,denisedoren@gmail.com,VENTAS ,FJAMIS
Pan Semilla,Pan Semilla,ALIMENTOS Y PRODUCTOS ARTESANALES LTDA,76.465.740-3,Hamburgo 1035. Ñuñoa,hamburgo 1035,Ñuñoa,Santiago,09:30 - 19:00,"$78,960",1,,CAJA,,<hola@pansemilla.cl>,VENTAS ,FJAMIS
PadelHouse Las Pircas,PadelHouse Las Pircas,ULTIMATE SPORTECH S.A.,77.482.443-k,AV QUILIN SUR 9900,juan de dios vial correa 4559,Peñaolén,Santiago,09:00 - 17:00,$78.960,1,,CAJA,,llaya@beluxa.cl,VENTAS ,FJAMIS
Pádel House Tuman,Pádel House Tuman,INMOBILIARIA E INVERSIONES DON RAMON LIMITADA,76.618.556-8,ISABEL RIQUELME 2784,los alpes 960 depto 1104 torre a,Las Condes,Santiago,09:00 - 17:00,"$78,960",1,,CAJA,,padeltuman@gmail.com,VENTAS ,FJAMIS
OXXO,Oxxo Las Condes Sanzio,INVERSIONES QUIROZ SPA,77.495.762-6,Rosario Rosales 67,av las condes 7423 local 1b,Las Condes,Santiago,07:30 - 21:00,"$84,480",30,,CAJA,,quirozp.diego@gmail.com,VENTAS ,FJAMIS
OXXO,OXXO LOS LEONES,INVERSIONES QUIROZ SPA,77.495.762-6,Rosario Rosales 67,av los leones 1476 local 105,Providencia,Santiago,09:00 - 21:00,"$84,480",30,,CAJA,,quirozp.diego@gmail.com,VENTAS ,FJAMIS
OXXO,Oxxo Rosario Rosales,INVERSIONES QUIROZ SPA,77.495.762-6,Rosario Rosales 67,rosario rosales 67 local 2,Las Condes,Santiago,07:30 - 21:00,"$71,760",30,,CAJA,,quirozp.diego@gmail.com,VENTAS ,FJAMIS
Opera Liquor Store,Opera Liquor Store Los Trapenses,DISTRIBUIDORA CASA LA CRUZ LIMITADA,77.108.104-5,AV CAMINO LOS TRAPENSES 3200,av camino los trapenses 3200 l3,Lo Barnechea,Santiago,11:00 - 19:00,"$78,960",NOTA DE VENTA (CONTADO),,CAJA,,nicolas@operals.cl,VENTAS ,FJAMIS
Opera Liquor Store,Opera Liquor Store Las Condes,DISTRIBUIDORA CASA LA CRUZ LIMITADA ,77.108.104-5,AV CAMINO LOS TRAPENSES 3200,camino el alba 12620 local 03,Las Condes,Santiago,11:00 - 20:00,"$78,960",NOTA DE VENTA (CONTADO),,CAJA,,nicolas@operals.cl ,VENTAS ,FJAMIS
Opera Liquor Store,Opera LS Pie Andino,DISTRIBUIDORA CASA LA CRUZ LIMITADA,77.108.104-5,AV CAMINO LOS TRAPENSES 3200,paseo pie andino 4850 l s-122,Lo Barnechea,Santiago,11:00 - 20:00,"$78,960",NOTA DE VENTA (CONTADO),,CAJA,,nicolas@operals.cl,VENTAS ,FJAMIS
Oden Chocolatería,Oden Chocolatería,COMERCIALIZADORA DE ALIMENTOS ODEN CHOCOLATES SPA,77.138.462-5,PIRQUE,av general gambino 4630,Conchalí,Santiago,7.30 a 17:00,"$78,960",30,,CAJA,,odenchocolates@gmail.com,VENTAS ,FJAMIS
Ocaranza Market,Ocaranza Market,ALEJANDRO ENRIQUE OCARANZA,7.939.037-2,BELLAVISTA 0306,av bellavista 0306,Providencia,Santiago,08:00 - 20:00,$78.960,1,,CAJA,,Contacto@ocaranzacorp.com,VENTAS ,FJAMIS
NOAH Sushi Vitacura,NOAH Sushi Vitacura,RIETI SPA (77.963.476-0),77.963.476-0,TABANCURA 1530 VITACURA,tabancura 1530 vitacura,Vitacura,Santiago,10:00 - 16:00,"$78,960",CHEQUE,,CAJA,,sebastian.calderon@gmail.com,VENTAS ,FJAMIS
NOAH Sushi Providencia,NOAH Sushi Providencia,LA FORTUNA SPA,76.943.049-0,PEDRO DE VALDIVIA 64,av pedro de valdivia 64,Providencia,Santiago,10:00 - 16:00,$78.960,CHEQUE,,CAJA,,noah.providencia@gmail.com,VENTAS ,FJAMIS
NOAH Sushi Ñuñoa,NOAH Sushi Ñuñoa,NOAH SUSHI ÑUÑOA,77.630.524-3,JOSE LUIS ARANEDA 20 ÑUÑOA,josé luis araneda 20,Ñuñoa,Santiago,10:00 - 19:00,"$78,960",CHEQUE,,CAJA,,sebastian.calderon@gmail.com,VENTAS ,FJAMIS
NOAH Sushi Las Condes,NOAH Sushi Las Condes,CAPPIO CHILE SPA,76.442.096-9,AV. CUARTO CENTENARIO 979 OF. DEPTO 104,av cuarto centenario 979 local 104,Las Condes,Santiago,10:00 - 16:00,"$78,960",CHEQUE,,CAJA,,gestioncompras@noahsushi.cl,VENTAS ,FJAMIS
Mundo Popcorn,Mundo Popcorn,IMPORTACIONES DALOSO LIMITADA,76.593.606-3,LUIS VALENZUELA 3450,: av irarrazaval 1018,Ñuñoa,Santiago,14:00 - 22:00,"$78,960",30,,CAJA,,ventas@mundopopcorn.cl,VENTAS ,FJAMIS
MSV Supermercados,MSV Supermercados,MSV SPA,77.638.903-K,AVDA LO ESPEJO 01565 MERSAN PAB3 DPTO. B303,avda lo espejo 01565 mersan pab3 dpto b303,Lo Espejo,Santiago,09:00 - 17:00,$78.960,1,,CAJA,,rodrigo.jimenez.d115@gmail.com,VENTAS ,FJAMIS
Mister Ham,Mister Ham,MISTER HAM SPA,76.906.133-9,Avenida Irarrázaval 4971 local 5A,avenida irarrázaval 4971 local 5a,Ñuñoa,Santiago,11:00 - 21:00,$78.960,CHEQUE,,CAJA,,misterhamsj@gmail.com,VENTAS ,FJAMIS
Minimarket Antucayen,Minimarket Antucayen,COMERCIALIZADORA DELABORCO LIMITADA,76.384.579-6,AVENIDA CENTRAL 273,av central 273,San Bernardo,Santiago,10:00 - 21:00,$78.960,1,,CAJA,,pabloborcoski@gmail.com,VENTAS ,FJAMIS
Minimarket Antonia,Minimarket Antonia,COMERCIAL MARIO JAIME VIVANCO ACUÑA E.I.R.L. ,76.516.702-7,ROMAN DIAZ 55,roman diaz 55,Providencia,Santiago,09:30 - 20:00,"$78,960",7,,CAJA,,comercial.mariovivanco@gmail.com,VENTAS ,FJAMIS
Mimi Gelato,Mimi Gelato,RODRIGO IGNACIO PEREZ GAJARDO,19.135.053-7,TRISTAN MATTA 1187,tristan matta 1187,San Miguel,Santiago,12:00 - 20:00,"$78,960",1,,CAJA,,rodrigoperez2308@gmail.com,VENTAS ,FJAMIS
Mi Market,Mi Market Colón,MU MERCADITO URBANO SPA,76.587.878-0,Hernando de Aguirre 136. Providencia,av cristobal colón 3707,Las Condes,Santiago,HASTA 15:00,"$78,000",30,,CAJA,,administracion@mi-market.cl,VENTAS ,FJAMIS
Mi Market,Mi Market Pedro de Valdivia 2,MU MERCADITO URBANO SPA,76.587.878-0,Hernando de Aguirre 136. Providencia,av pedro de valdivia 70,Providencia,Santiago,HASTA 15:00,"$78,000",30,,CAJA,,administracion@mi-market.cl,VENTAS ,FJAMIS
Mi Market,Mi Market Pedro de Valdivia,MU MERCADITO URBANO SPA,76.587.878-0,Hernando de Aguirre 136. Providencia,av pedro de valdivia 887,Providencia,Santiago,HASTA 15:00,"$78,000",30,,CAJA,,administracion@mi-market.cl,VENTAS ,FJAMIS
Mi Market,Mi Market Hernando de Aguirre,MU MERCADITO URBANO SPA,76.587.878-0,Hernando de Aguirre 136. Providencia,hernando de aguirre 136,Providencia,Santiago,HASTA 15:00,"$78,000",30,,CAJA,,administracion@mi-market.cl,VENTAS ,FJAMIS
Mestiere,Mestiere,COMERCIAL SAFQA SPA,76.566.859-K,AV VITACURA 9013,avenida vitacura 9013,Vitacura,Santiago,09:00 - 19:00,"$78,960",30,,CAJA,,Fdagach@mestiere.cl,VENTAS ,FERNANDO ALID
Mercado Rico y Sano,Mercado Rico y Sano,COMERCIALIZADORA MERCADO NATURAL RICO Y SANO SPA,76.896.144-1,AV IRARRAZAVAL 2588,av irarrazaval 2586,Ñuñoa ,Santiago,11:00 - 19:00,"$78,960",30,Revisar OC,CAJA,,Enoc@mercadoricoysano.cl ,VENTAS ,FJAMIS
Mercado Carnes y Pastas,Mercado Carnes y Pastas,MERCADO DE LAS CARNES LUIS CARRERA SPA.,77.825.541-3,Candelaria Goyenechea 5448 local 1,candelaria goyenechea 5448 local 1,Vitacura,Santiago,10:00 - 19:00,"$78,960",1,,CAJA,,pduchp@gmail.com,VENTAS ,FJAMIS
Mercadito Cachagua,Mercadito Cachagua,COMERCIAL MERCADITO CHILE SPA,77.679.625-5,AV EL TRANQUE 12797,paseo pie andino 7901 casa 602 (condominio los bravos),Lo Barnechea,Santiago,08:00 - 16:30,"$78,960",30,,CAJA,,ovalle92@gmail.com,VENTAS ,FJAMIS
Mar Jano Las Tranqueras,Mar Jano Las Tranqueras,COMERCIALIZADORA MARJANO SPA,77.252.713-6,Las Tranqueras 1352,av las tranqueras 1352,Vitacura,Santiago,11:00 - 18:00,$78.960,15,,CAJA,,cjano.marjano@gmail.com,VENTAS ,FNASSAR
Mar Jano Einstein,Mar Jano Einstein,COMERCIALIZADORA JH SPA ,76.524.674-1,EINSTEIN 741,einstein 741,Recoleta,Santiago,11:00 - 16:00,"$78,960",1,,CAJA,,cjano.marjano@gmail.com ,VENTAS ,FJAMIS
Mar Azul Viña,Mar Azul Viña,DISTRIBUIDORA MAR AZUL LIMITADA,76.157.309-8,AVDA CON CON REÑACA 480 L3,av concon reñaca 480 local 3,Viña del Mar,Valparaíso,10:00 a 14:00 y de 15:00 a 18:00,"$78,960",30,,CAJA,,daniellamancilla@hotmail.com,VENTAS ,FJAMIS
Mar Azul Stgo,Mar Azul Stgo,SOCIEDAD COMERCIALIZADORA Y DISTRIBUIDORA MAR AZUL LIMITADA,77.060.779-5,ELENA VERA MUNOZ 195 PUDETO BAJO ANCUD,av vivaceta 606,Independencia ,Santiago,09:00 - 17:30,"$78,960",30,,CAJA,,expromar.toledo@gmail.com,VENTAS ,FJAMIS
Los Viñedos Diagonal Oriente,Los Viñedos Diagonal Oriente,COMERCIALIZADORA ERNESTO ALEJANDRO IBARRA ARROYO E.I.R.L.,76.823.964-9,AV. PRESIDENTE BATLLE Y O 4343,av presidente josé batlle y ordóñez 4343,Ñuñoa,Santiago,09:00 - 22:00,"$78,960",30,Revisar OC,CAJA,,ernesto.ibarra@losvinedos.cl,VENTAS ,FJAMIS
Los Viñedos,Los Viñedos Peñalolen,COMERCIALIZADORA Y DISTRIBUIDORA LOS VINEDOS DEL CONSISTORIAL LTDA,76.043.320-9,AV CONSISTORIAL 5340,av consistorial 5340,Peñalolen,Santiago,09:00 - 17:00,"$78,960",30,Revisar OC,CAJA,,tomas.boixet@losvinedos.cl,VENTAS ,FJAMIS
Los Viñedos,Los Viñedos Plaza Egaña,COMERCIALIZADORA Y DISTRIBUIDORA LOS VINEDOS DEL CONSISTORIAL LTDA,76.043.320-9,AV CONSISTORIAL 5340,av plaza egaña 100 ñuñoa,Ñuñoa,Santiago,09:00 - 17:00,"$78,960",30,Revisar OC,CAJA,,tomas.boixet@losvinedos.cl,VENTAS ,FJAMIS
Los Viñedos,Los Viñedos Irarrazabal,COMERCIALIZADORA Y DISTRIBUIDORA LOS VINEDOS DEL CONSISTORIAL LTDA,76.043.320-9,AV CONSISTORIAL 5340,irarrazaval 3511,Nuñoa,Santiago,09:00 - 17:00,"$78,960",30,Revisar OC,CAJA,,tomas.boixet@losvinedos.cl,VENTAS ,FJAMIS
Los Viñedos,Los Viñedos Cerezos,COMERCIALIZADORA Y DISTRIBUIDORA LOS VINEDOS DEL CONSISTORIAL LTDA,76.043.320-9,AV CONSISTORIAL 5340,los cerezos 16,Nuñoa,Santiago,09:00 - 17:00,"$78,960",30,Revisar OC,CAJA,,tomas.boixet@losvinedos.cl,VENTAS ,FJAMIS
Los Viñedos,Los Viñedos Florida,COMERCIALIZADORA Y DISTRIBUIDORA LOS VINEDOS DEL CONSISTORIAL LTDA,76.043.320-9,AV CONSISTORIAL 5340,san francisco 4420,La Florida,Santiago,09:00 - 17:00,"$78,960",30,Revisar OC,CAJA,,tomas.boixet@losvinedos.cl,VENTAS ,FJAMIS
Local Burger EVENTO,Local Burger EVENTO,GASTRONOMICA MANGO GOURMET LIMITADA,76.161.938-1,AV LAS CONDES 7927,los militares 5934 local ij,Las Condes,Santiago,09:00 - 17:00,$78.960,1,,CAJA,,gpenafiel@localburger.cl ,VENTAS ,FJAMIS
Local Burger,Local Burger Irarrázaval,GASTRONOMICA GRUPO SEIS SPA,77.201.862-2,LOS MILITARES 5934 LOCAL 1,irarrazaval 5350 local 2,Ñuñoa,Santiago,09:00 - 17:00,"$78,960",30,,CAJA,,Gpenafiel@localburger.cl,VENTAS ,FJAMIS
Local Burger,Local Burger Los Militares,GASTRONOMICA GRUPO SEIS SPA,77.201.862-2,LOS MILITARES 5934 LOCAL 1,los militares 5934 local ij,Las Condes,Santiago,09:00 - 17:00,"$78,960",30,,CAJA,,Gpenafiel@localburger.cl,VENTAS ,FJAMIS
La Siembra,La Siembra,TOSTADURIA LA SIEMBRA SPA,76.566.871-9,MONSEÑOR EDWARS 1170,monseñor edwards 1170a,La Reina,Santiago,10:00 - 19:00,"$78,960",1,,CAJA,,tienda@lasiembragranel.cl,VENTAS ,FJAMIS
La Popular,La Popular Bilbao,LA POPULAR PIZZA Y PAN SPA,76.659.122-1,Av Francisco Bilbao 2793,av francisco bilbao 2793,Providencia,Santiago,11:00 - 17:00,"$78,960",30,,CAJA,,compras@lapopularpan.com,VENTAS ,FJAMIS
La Popular,La Popular Infante,LA POPULAR PIZZA Y PAN SPA,76.659.122-1,Av Francisco Bilbao 2793,josé manuel infante 1232,Providencia,Santiago,11:00 - 17:00,"$78,960",30,,CAJA,,compras@lapopularpan.com,VENTAS ,FJAMIS
La Popular,La Popular - EVENTO ÑAM,LA POPULAR PIZZA Y PAN SPA,76.659.122-1,Av Francisco Bilbao 2793,visviri 1107,Las Condes,Santiago,09:00 - 11:00,$78.960,1,,CAJA,,compras@lapopularpan.com,VENTAS ,FJAMIS
La Piamontesa,La Piamontesa,MINIMARKET CARINA CRAVERO E.I.R.L,76.655.849-6,Hermano fermando de la fuente 403. SanFernando,RETIRO,San Fernando,Ohiggins,09:00 - 17:00,"$78,960",1,,CAJA,,carinacravero@hotmail.com,VENTAS ,FJAMIS
La Pascuala Bistró,La Pascuala Bistró,SANTA MARÍA SPA,77.248.079-2,El embalse 8721,américo vespucio norte 2776 depto 307,Vitacura,Santiago,08:00 - 21:00,"$78,960",1,,CAJA,,hola@lapascualabistro.cl,VENTAS ,FJAMIS
La Madre,La Madre,PANADERÍA LA MADRE SPA,77.392.266-7,JEAN MERMOZ 18A,jean mermoz 18 a,Las Condes,Santiago,09:00 - 20:00,"$78,960",30,,CAJA,,Lamadrepanaderia@gmail.com,VENTAS ,FJAMIS
La Madre,Panaderia La Madre,PANADERÍA LA MADRE SPA,77.392.266-7,JEAN MERMOZ 18A,jean mermoz 18 a,Las Condes,Santiago,09:00 - 20:00,"$78,960",30,,CAJA,,Lamadrepanaderia@gmail.com,VENTAS ,FJAMIS
La Gioconda,La Gioconda,SALJO Inversiones SpA.,77.642.713-6,Hermanos Carrera 655 local B Litueche,hermanos carrera 655 local b litueche,Ohiggins,Ohiggins,09:00 - 17:00,$78.960,1,,CAJA,,alexmonreal9@hotmail.com,VENTAS ,FJAMIS
La Fortuna Heladería,La Fortuna Heladería,COMERCIALIZADORA Y DISTRIBUIDORA SAN CRESCENTE SPA,76.964.206-4,PEDRO TORRES 1227,av ventisquero 1204 bodega 65,Renca,Santiago,9:00 a 17.30,$78.960,1,,CAJA,,mielsofiasantamaria@gmail.com>,VENTAS ,FJAMIS
La Focaccia ,La Focaccia ,LA FOCACCIA SPA,77.202.366-9,AV EL BOSQUE NORTE 166,av el bosque nte 166,Las Condes,Santiago,10:00 - 20:00,"$78,960",30,,CAJA,, hola@lafocaccia.cl ,VENTAS ,FJAMIS
LA FACTORIA,LA FACTORIA,LA FACTORÍA SPA,77.833.404-6,PICHILEMU,av comercio 1955b,Pichilemu,Ohiggins,9:00 - 18-00,"$78,960",1,,CAJA,,trinidadugarteg@gmail.com,VENTAS ,FJAMIS
La Esquina Minimercado,La Esquina Minimercado,OBERST KADGIEN INVERSIONES SPA,76.214.928-1,rosario rosales 67 local 4,rosario rosales 67 local 4,Las Condes,Santiago,09:00 - 20:00,"$78,960",30,,CAJA,,aliciakadgien@hotmail.com,VENTAS ,FJAMIS
La Dulzura de Agustina,La Dulzura de Agustina,INVERSIONES Y COMERCIAL SUSANA SANHUEZA SPA,77.795.695-7,SAN JOSE DE LA ESTRELLA 301,av san josé de la estrella oriente 301g,La Florida,Santiago,11:00 - 20:00,"$78,960",CHEQUE,,CAJA,,hectorpadillac@gmail.com,VENTAS ,FJAMIS
La Cotidiana,La Cotidiana Providencia,COMERCIAL PUELO LIBRE LIMITADA,76.763.847-7,AMAPOLAS 1282 PROVIDENCIA,amapolas 1282,Providencia,Santiago,11:00 - 19:00,"$78,960",30,,CAJA,,Tomas@gangas.cl,VENTAS ,FJAMIS
La Cotidiana,La Cotidiana,COMERCIAL PUELO LIBRE LIMITADA,76.763.847-7,AMAPOLAS 1282 PROVIDENCIA,napoleón 3140 las condes,Las Condes,Santiago,11:00 - 19:00,"$78,960",30,,CAJA,,Tomas@gangas.cl,VENTAS ,FJAMIS
La Casa del Mono,La Casa del Mono,MONO NEGOCIOS SPA,77.096.809-7,AV BORGOÑO 24931,av borgoño 24931,Concon,Valparaíso,11:00 - 20:00,"$78,960",30,,CAJA,,Edufernandezd@gmail.com,VENTAS ,FJAMIS
La Carneria,La Carneria,AGRICOLA Y COMERCIAL DON CARLOS SPA,76.520.558-1,AV PADRE HURTADO CENTRAL 502,padre hurtado central 502,Las Condes,Santiago,11:00 - 20:00,"$78,960",30,,CAJA,,enrique@lacarneria.cl,VENTAS ,FJAMIS
La Burguesita,La Burguesita,INVERSIONES LILLO AL CUADRADO LIMITADA,76.954.583-2,Santa Magdalena 99,av tabancura 1754,Vitacura,Santiago,11:30 - 20:00,"$78,960",30,,CAJA,,jtvenega@gmail.com,VENTAS ,FERNANDO ALID
La Burguesia Providencia,La Burguesia Providencia,LILLO Y ANGEL LIMITADA ,76.203.877-3,SANTA MAGDALENA 99. Providencia,santa magdalena 99,Providencia,Santiago,10:00 - 20:00,"$75,012",30,,CAJA,,,VENTAS ,FERNANDO ALID
La Burguesia La Reina,La Burguesia La Reina,SAN FRANCISCO SPA,76.493.119-K,AV PRINCIPE DE GALES 8351,av principe de gales 8531 local 6,La reina,Santiago,10:00 - 20:00,"$78,960",30,,CAJA,,fra.ga.fa.26@gmail.com,VENTAS ,FERNANDO ALID
La Borboleta,La Borboleta,PAREDES Y VILLAGRA SPA,77.869.093-4,AV. PRESIDENTE BATLLE Y ORDOÑEZ 4502 LOCAL 3,av presidente jose batlle y ordoñez 4502 local 3,Ñuñoa,Santiago,10:00 - 19:00,"$78,960",30,,CAJA,,paredesyvillagraspa@gmail.com,VENTAS ,FJAMIS
La Bodeguita del Centro,La Bodeguita del Centro,COMERCIAL E INVERSIONES VS SPA,77.255.542-3,MATUCANA 309,calle matucana 309,Casa Blanca,Valparaíso,,"$78,960",1,,CAJA,,katherinesilvae@gmail.com,VENTAS ,FJAMIS
La Base Orgánica Matanzas,La Base Orgánica Matanzas,ARTE MANDALA SPA,76.815.297-7,Camino caleta de matanzas local 3,RETIRO,Navidad,Ohiggins,,"$78,960",1,,CAJA,,claudia.andrea.uribe@gmail.com,VENTAS ,FJAMIS
La Baguette Panadería,La Baguette Panadería,renzo bianchetti alim y distr eirl ,76.047.495-9,etchevers alto 638,etchevers 638,Viña del Mar,Valparaíso,09:00 - 19:00,$78.960,1,,CAJA,,Renzobianchetti@hotmail.com,VENTAS ,FJAMIS
La Argentina,La Argentina Centro de Producción,CENTRO DE PRODUCCION LA ARGENTINA PIZZERIA LIMITADA,77.469.344-0,AVENIDA IRARRAZAVAL 1019,av irarrázabal 1019,Ñuñoa,Santiago,09:00 - 15:00,"$78,960",30,,CAJA,,carina@passaro.cl,VENTAS ,FJAMIS
La Argentina,La Argentina Pizzeria,CENTRO DE PRODUCCION LA ARGENTINA PIZZERIA LIMITADA,77.469.344-0,AVENIDA IRARRAZAVAL 1019,irarrázabal 1019,Ñuñoa,Santiago,9:00 a 16.30 hs,"$78,960",30,,CAJA,,carina@passaro.cl,VENTAS ,FJAMIS
L'Arrabbiata,L'Arrabbiata,LARRABBIATA SPA,76.730.705-5,AV MANUEL MONTT 2559,av manuel montt 2559 local 2,Ñuñoa,Santiago,10:00 - 21:00,"$78,960",CHEQUE,,CAJA,,Larrabbiata.spa@gmail.com,VENTAS ,FJAMIS
Key Logistics,Key Logistics (ESMAX),KEYLOGISTICS CHILE S A,96.930.440-6,Pio XI 1290,"av lo espejo 01740, Bodega 3",San Bernardo,Santiago,08:00 - 13:00,"$58,000",30,Revisar OC,CAJA,,jhonlly.sulbaran@keylogistics.cl,VENTAS ,FNASSAR
Key Logistics,Key Logistics (ENEX),KEYLOGISTICS CHILE S A,96.930.440-6,Pio XI 1290,"av lo espejo 01740, Bodega 3",San Bernardo,Santiago,08:00 - 13:00,"$50,400",30,Revisar OC,CAJA,,jhonlly.sulbaran@keylogistics.cl,VENTAS ,FNASSAR
Key Logistics,Key Logistics (OXXO),KEYLOGISTICS CHILE S A,96.930.440-6,Pio XI 1290,lago riñihue 2319,San Bernardo,Santiago,08:00 - 13:00,"$58,000",30,Revisar OC,UNIDAD,,jhonlly.sulbaran@keylogistics.cl,VENTAS ,FNASSAR
Kento Vitacura,Kento Vitacura,DIAZ SPA,77.351.605-7,Vitacura 5460,vitacura 5460,Vitacura,Santiago,12:00 - 20:00,"$78,960",30,,CAJA,,contabilidadkento@gmail.com,VENTAS ,FJAMIS
Kento Sushi Santiago Centro,Kento Sushi Santiago Centro,COMERCIAL KENTO II SPA,76.672.345-4,ELEUTERIO RAMIREZ 1914,eleuterio ramirez 1419 local 5,Santiago Centro,Santiago ,12:00 - 20:00,"$78,960",30,,CAJA,,contabilidadkento@gmail.com,VENTAS ,FJAMIS
Kento Mall Plaza Oeste,Kento Mall Plaza Oeste,DIAZ SPA,77.351.605-7,Vitacura 5460,av américo vespucio n° 1501 local 1029,Cerrillos,Santiago,10:30 - 21:00,"$78,960",1,,CAJA,,contabilidadkento@gmail.com,VENTAS ,FJAMIS
Kento La Florida,Kento La Florida,INVERSIONES BLUE FOODS SPA,77.765.997-9,AV LA FLORIDA 7959,av la florida 7959,La Florida,Santiago,12:00 - 20:00,"$78,960",30,,CAJA,,contabilidadkento@gmail.com,VENTAS ,FJAMIS
Kento La Dehesa,Kento La Dehesa,DIAZ Y TORRES SPA,77.336.717-5,Av. La Dehesa 3372 Lote 9C1,av la dehesa 3372 lote 9c1,Lo Barnechea,Santiago,12:30 - 21:00,"$78,960",30,,CAJA,,contabilidadkento@gmail.com,VENTAS ,FJAMIS
Kento Providencia,Kento Providencia,COMERCIAL KENTO SPA,76.032.185-0,M.Montt 1349 LC 4,av manuel montt 1349,Providencia ,Santiago,12:00 - 20:00,"$78,960",30,,CAJA,,contabilidadkento@gmail.com,VENTAS ,FJAMIS
Kento Las Condes,Kento Las Condes,COMERCIAL KENTO SPA ,76.032.185-0,M.Montt 1349 LC 4,pedro de gamboa 55 local 2,Las Condes,Santiago,12:00 - 20:00,"$78,960",30,,CAJA,,contabilidadkento@gmail.com,VENTAS ,FJAMIS
Just Burger,Just Burger Manquehue,JUST BURGER SPA,77.209.687-9,AVENIDA APOQUINDO 4615,av manquehue norte 1768,Vitacura,Santiago,08:00 - 23:00,"$78,960",30,,CAJA,,Thiare.alvarez@pjchile.com,VENTAS ,FJAMIS
Just Burger,Just Burger Manuel Montt,JUST BURGER SPA,77.209.687-9,AVENIDA APOQUINDO 4615,av manuel montt 2559 ñuñoa,Ñuñoa,Santiago,08:00 - 23:00,"$78,960",30,,CAJA,,Thiare.alvarez@pjchile.com,VENTAS ,FJAMIS
Just Burger,Just Burger Viña,JUST BURGER SPA,77.209.687-9,AVENIDA APOQUINDO 4615,av san martin 636,Viña del Mar,Valparaíso,08:00 - 23:00,"$78,960",30,,CAJA,,Thiare.alvarez@pjchile.com,VENTAS ,FJAMIS
Just Burger,Just Burger Villa Alemana,JUST BURGER SPA,77.209.687-9,AVENIDA APOQUINDO 4615,av valparaiso 1057 villa alemana,Villa Alemana,Valparaíso,08:00 - 23:00,"$78,960",30,,CAJA,,Thiare.alvarez@pjchile.com,VENTAS ,FJAMIS
Just Burger,Just Burger Colón,JUST BURGER SPA,77.209.687-9,AVENIDA APOQUINDO 4615,cuarto centenario iv 999,Las Condes,Santiago,08:00 - 23:00,"$78,960",30,,CAJA,,Thiare.alvarez@pjchile.com,VENTAS ,FJAMIS
Just Burger,Just Burger Providencia,JUST BURGER SPA,77.209.687-9,AVENIDA APOQUINDO 4615,guardia vieja 62,Providencia,Santiago,08:00 - 23:00,"$78,960",30,,CAJA,,Thiare.alvarez@pjchile.com,VENTAS ,FJAMIS
Just Burger,Just Burger Quilín,JUST BURGER SPA,77.209.687-9,AVENIDA APOQUINDO 4615,mar tirreno 3349 loc 1108-b,Peñalolen,Santiago,08:00 - 23:00,"$78,960",30,,CAJA,,Thiare.alvarez@pjchile.com,VENTAS ,FJAMIS
Just Burger,Just Burger Machalí,JUST BURGER SPA,77.209.687-9,AVENIDA APOQUINDO 4615,miguel ramírez 1550 local 22,Machalí,Ohiggins,08:00 - 23:00,"$78,960",30,,CAJA,,Thiare.alvarez@pjchile.com,VENTAS ,FJAMIS
Just Burger,Just Burger Huechuraba,JUST BURGER SPA,77.209.687-9,AVENIDA APOQUINDO 4615,pedro fontova 6651,Huechuraba,Santiago,08:00 - 23:00,"$78,960",30,,CAJA,,Thiare.alvarez@pjchile.com,VENTAS ,FJAMIS
Just Burger,Just Burger La Reina,JUST BURGER SPA,77.209.687-9,AVENIDA APOQUINDO 4615,principe de gales 6853,La Reina,Santiago,08:00 - 23:00,"$78,960",30,,CAJA,,Thiare.alvarez@pjchile.com,VENTAS ,FJAMIS
Just Burger,Just Burger Toesca,JUST BURGER SPA,77.209.687-9,AVENIDA APOQUINDO 4615,toesca 1844,Santiago Centro,Santiago,08:00 - 23:00,"$78,960",30,,CAJA,,Thiare.alvarez@pjchile.com,VENTAS ,FJAMIS
Juan Esteban Muñoz Zapata,Juan Esteban Muñoz Zapata,JUAN ESTEBAN MUÑOZ,15.178.542-5,,av los litres 1750 casa 38,Lo Barnechea,Santiago,09:00 - 18:00,"$78,960",1,,CAJA,,,VENTAS ,FJAMIS
Inbocca,Inbocca,IN BOCCA SPA,77.662.722-4,C SAN FCO DE ASIS 115 DP A 201 PS 2 TORRE I,homs 6882,Las Condes,Santiago,10:00 - 16:00,$78.960,1,,CAJA,,bastian@inbocca.cl,VENTAS ,FJAMIS
Ice Kitchen,IceKitchen Curauma,WS INVERSIONES SPA,77.468.903-6,Los mirlos 181. local 2,boulevard 68: undécima 1605 local 17,Curauma,Valparaíso,11:00 - 20:00,"$78,960",30,,CAJA,,diego.salomo@gmail.com,VENTAS ,FJAMIS
